Stage,Rows,Columns,Timer,Word1,Difficulty1,Word2,Difficulty2,Word3,Difficulty3,Word4,Difficulty4,Word5
1,3,3,60,3,1,3,1,,,,,
2,3,3,60,3,1,3,1,3,2,,,
3,3,3,60,3,1,3,2,3,3,,,
4,3,3,60,3,1,3,2,3,2,,,
5,3,3,60,3,1,4,1,,,,,
6,3,4,60,3,1,3,1,3,1,,,
7,3,4,60,3,1,3,2,3,2,,,
8,3,4,60,3,1,3,2,4,1,,,
9,3,4,60,3,1,3,2,4,1,,,
10,3,4,60,3,2,3,3,4,1,,,
11,4,4,60,3,2,3,3,4,1,,,
12,4,4,60,3,2,3,3,4,2,,,
13,4,4,60,3,2,3,3,4,2,,,
14,4,4,60,3,2,3,3,4,2,,,
15,4,4,60,3,2,4,3,5,2,,,
16,4,4,60,3,2,3,3,6,2,,,
17,4,4,60,3,2,3,3,7,2,,,
18,4,4,60,3,2,3,3,8,2,,,
19,4,4,60,3,2,4,3,5,2,,,
20,4,4,60,3,2,5,3,7,2,,,
21,4,4,60,3,2,3,3,4,2,4,2,
22,4,4,60,3,2,3,3,4,2,4,2,
23,4,4,60,3,2,3,3,4,2,4,2,
24,4,4,60,3,2,3,3,4,2,4,2,
25,4,4,60,3,2,3,3,4,2,4,2,
26,4,4,60,3,2,4,1,4,2,4,4,
27,4,4,60,3,2,4,1,4,2,4,4,
28,4,4,60,3,2,4,1,4,2,4,4,
29,4,4,60,3,2,4,1,4,2,4,4,
30,4,4,60,3,2,4,1,4,2,4,4,
31,4,4,45,4,1,5,1,6,1,,,
32,4,4,45,4,1,5,2,6,2,,,
33,4,4,45,4,1,4,3,4,4,4,4,
34,4,4,45,4,1,4,2,4,4,,,
35,4,4,45,4,1,3,3,6,1,,,
36,4,4,45,4,1,5,1,6,1,,,
37,4,4,45,4,2,3,2,3,2,3,2,3
38,4,4,45,4,2,4,2,5,1,,,
39,4,4,45,4,2,4,2,3,1,,,
40,4,4,45,3,3,3,4,8,1,,,
41,4,4,30,3,4,3,4,5,2,5,2,
42,4,4,30,3,4,4,4,4,4,5,2,
43,4,4,30,5,1,5,2,5,3,,,
44,4,4,30,4,1,5,1,6,1,,,
45,4,4,30,3,1,4,2,4,2,5,4,
46,4,4,30,5,2,5,4,6,4,,,
47,4,4,30,6,2,7,3,3,2,,,
48,4,4,30,7,2,8,2,,,,,
49,4,4,30,7,3,8,3,,,,,
50,4,4,30,7,4,8,4,,,,,